City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lokosovo,88,RU,1539356378,95,61.13,74.84,33.85,7.85
Kizukuri,92,JP,1539356379,100,40.81,140.39,56.35,9.08
Bemidji,1,US,1539354900,92,47.48,-94.89,23.0,5.82
Klaksvik,76,FO,1539354000,87,62.23,-6.59,51.8,20.8
Jawhar,80,IN,1539356379,48,19.91,73.23,87.31,3.38
Batan,20,ID,1539356380,82,-7.54,110.71,71.91,2.71
Demyansk,0,RU,1539356380,87,57.64,32.46,54.27,11.43
Menongue,48,AO,1539356380,14,-14.66,17.68,89.1,3.27
Itagiba,0,BR,1539352800,68,-29.52,-50.57,69.8,11.41
Bonfim,12,GY,1539356381,48,3.36,-59.84,93.25,10.76
Luwuk,36,ID,1539356381,100,-0.95,122.79,76.95,2.93
Sur,0,OM,1539356382,99,22.57,59.53,80.01,4.38
Sechura,92,PE,1539356382,83,-5.56,-80.82,67.23,10.65
Zhigansk,68,RU,1539356382,96,66.77,123.37,29.25,6.96
Antalaha,80,MG,1539356382,98,-14.9,50.28,71.73,8.63
Nanortalik,92,GL,1539356383,95,60.14,-45.24,33.94,8.19
Yekimovichi,0,RU,1539356383,78,54.11,33.29,53.1,5.17
Sujiatun,8,CN,1539356383,62,45.81,127.11,47.88,9.42
Pingliang,56,CN,1539356383,69,35.54,106.68,50.22,6.06
Guacimo,75,CO,1539352800,83,8.09,-76.36,80.6,11.41
Taunggyi,68,MM,1539356384,93,20.78,97.03,64.71,2.71
Zhezkazgan,75,KZ,1539352800,86,47.8,67.71,41.0,11.18
Bethel,90,US,1539352380,96,60.79,-161.76,42.98,16.11
Gonda,0,IN,1539356111,59,27.13,81.96,79.75,6.73
Sitka,92,US,1539356386,100,37.17,-99.65,51.66,9.42
Sungairaya,36,ID,1539356386,98,0.7,108.9,76.06,5.17
Katsuura,20,JP,1539356386,97,33.93,134.5,58.69,7.63
Rome,20,IT,1539354000,44,41.89,12.48,78.8,3.36
Price,1,US,1539352380,85,39.6,-110.81,37.04,10.29
Chilmari,68,BD,1539356387,93,25.59,89.66,72.91,5.73
Bubaque,75,GW,1539352800,62,11.28,-15.83,89.6,4.7
Pisco,90,PE,1539352800,30,-13.71,-76.2,71.6,6.93
Bandundu,88,CD,1539356388,89,-3.32,17.38,77.58,9.98
Cerrito,75,CO,1539352800,100,6.84,-72.7,68.0,3.36
Evensk,92,RU,1539356389,100,61.92,159.24,38.52,10.98
Chumikan,0,RU,1539356389,71,54.72,135.31,44.2,11.1
Tarboro,1,US,1539356160,58,35.9,-77.54,66.56,9.17
Arman,0,RU,1539352800,69,59.7,150.17,39.2,2.24
Dawei,20,MM,1539356390,92,14.07,98.19,73.26,1.7
Beringovskiy,92,RU,1539356390,100,63.05,179.32,41.31,19.04
Letterkenny,20,IE,1539354000,71,54.95,-7.73,57.2,24.16
Leua,8,AO,1539356391,39,-11.65,20.45,85.41,3.38
Colquechaca,12,BO,1539356391,77,-18.7,-66.0,56.97,2.04
Inverness,40,GB,1539354000,67,57.48,-4.23,62.6,19.46
Tazovskiy,88,RU,1539356391,98,67.47,78.7,32.4,4.38
Takahagi,75,JP,1539352800,72,36.74,140.69,59.0,5.82
Coihaique,75,CL,1539352800,61,-45.58,-72.07,48.2,5.82
Esmeraldas,75,BR,1539352800,57,-19.76,-44.31,78.8,6.93
Lucera,20,IT,1539352500,56,41.51,15.34,75.2,16.11
Almeirim,20,PT,1539354600,57,39.21,-8.63,77.0,13.87
Khasan,0,RU,1539356393,100,42.43,130.64,49.15,7.07
Sosua,40,DO,1539352800,70,19.77,-70.52,84.2,9.17
Kosa,88,RU,1539356393,67,59.94,54.99,35.46,14.12
Slave Lake,90,CA,1539354000,93,55.28,-114.77,39.2,5.82
Zabid,36,YE,1539356394,20,14.2,44.5,67.95,4.94
Yumen,0,CN,1539356394,67,40.29,97.04,35.91,4.94
Iguape,92,BR,1539356395,98,-24.7,-47.56,72.45,11.99
Bara,0,NG,1539356395,23,10.41,10.6,99.19,11.65
Jiujiang,8,CN,1539356396,85,29.73,115.99,55.81,8.3
Gat,0,SN,1539356396,45,14.69,-16.54,98.65,4.05
Oistins,20,BB,1539352800,74,13.07,-59.53,86.0,12.75
Mattru,44,SL,1539356396,91,7.62,-11.83,84.43,3.83
Hualmay,44,PE,1539356397,71,-11.1,-77.61,68.14,5.06
Wukari,12,NG,1539356397,67,7.87,9.78,88.93,6.51
Sawtell,90,AU,1539354600,68,-30.38,153.1,64.4,12.75
Jay,90,US,1539353700,95,44.95,-72.44,51.98,6.93
Biak,36,ID,1539356398,100,-0.91,122.88,76.95,2.93
Sar-e Pul,0,AF,1539356398,75,36.22,65.93,38.44,1.14
Florianopolis,75,BR,1539352800,68,-27.6,-48.55,71.6,14.99
Baykit,12,RU,1539356399,75,61.68,96.39,31.32,7.96
Saiha,88,IN,1539356399,98,22.49,92.98,66.06,1.59
Alenquer,20,BR,1539352800,62,-1.95,-54.74,87.8,19.46
Sobolevo,0,RU,1539356400,83,54.43,31.9,53.01,6.06
Inuvik,90,CA,1539352800,86,68.36,-133.71,28.4,5.82
Margherita,92,IN,1539356400,98,27.29,95.67,65.7,1.81
Taree,75,AU,1539352800,87,-31.91,152.46,57.2,3.36
Wuan,12,CN,1539356402,64,31.68,112.0,53.73,7.96
Funadhoo,56,MV,1539356469,100,6.15,73.27,83.25,1.59
Cabedelo,75,BR,1539352800,58,-6.97,-34.84,84.2,13.87
Horodnytsya,0,UA,1539356473,59,50.81,27.32,59.31,8.97
Beni,44,CD,1539356409,95,0.49,29.47,71.01,4.05
Bulgan,76,MN,1539356410,89,48.81,103.53,32.4,2.48
Saint-Augustin,0,FR,1539354600,45,44.83,-0.61,82.4,12.75
Nantucket,90,US,1539355020,96,41.28,-70.1,59.0,9.17
Belaya Gora,92,RU,1539356476,94,68.54,146.19,19.62,3.04
Zharkent,0,KZ,1539356477,85,44.17,80.0,32.05,2.04
Tilichiki,0,RU,1539356413,83,60.47,166.1,23.13,2.93
Maple Creek,48,CA,1539356482,77,49.91,-109.46,35.2,10.42
Kalabo,0,ZM,1539356482,13,-15.0,22.67,94.86,4.61
Carutapera,36,BR,1539356483,70,-1.2,-46.02,85.77,12.1
Lima,8,PE,1539356130,61,-12.06,-77.04,66.96,3.15
Huarmey,8,PE,1539356419,56,-10.07,-78.15,70.47,4.05
Alofi,75,NU,1539352800,100,-19.06,-169.92,73.4,5.82
Tual,36,ID,1539356485,100,-5.67,132.75,81.0,7.4
Atasu,92,KZ,1539356421,96,48.68,71.64,43.83,19.6
Binzhou,32,CN,1539356421,48,37.38,117.96,47.44,9.31
Nuuk,20,GL,1539352200,62,64.17,-51.74,24.8,28.86
Trinidad,90,UY,1539352800,93,-33.52,-56.9,51.8,10.29
Trelew,0,AR,1539356425,33,-43.25,-65.31,64.44,13.89
Pella,40,US,1539354900,92,41.41,-92.92,37.4,4.61
San Quintin,8,PH,1539356426,84,17.54,120.52,72.0,3.15
Mingshui,68,CN,1539356491,70,22.81,109.89,66.96,4.83
Lucea,20,JM,1539352800,66,18.44,-78.17,84.2,6.93
Kavaratti,92,IN,1539356427,100,10.57,72.64,83.89,9.98
Alexandria,1,US,1539354900,73,31.31,-92.44,63.32,5.82
Moosburg,0,DE,1539355800,41,48.09,9.6,77.0,6.93
Beira,75,ES,1539354600,77,43.2,-8.36,69.8,21.92
Meulaboh,92,ID,1539356429,100,4.14,96.13,74.61,2.15
Ozernovskiy,88,RU,1539356430,100,51.5,156.52,43.92,13.67
La Asuncion,40,EC,1539352800,67,-1.64,-78.74,62.6,1.03
Sergeyevka,88,KZ,1539356262,83,53.88,67.42,36.0,8.97
Namatanai,24,PG,1539356430,100,-3.66,152.44,80.91,7.4
Kamariotissa,40,GR,1539354000,46,40.48,25.47,69.8,18.34
Wiarton,75,CA,1539352800,86,44.74,-81.13,41.0,10.29
Merauke,8,ID,1539356436,90,-8.49,140.4,78.57,14.0
Sinnamary,0,GF,1539356439,90,5.38,-52.96,83.35,10.76
Puerto Suarez,75,BO,1539352800,70,-18.96,-57.8,86.0,5.82
Daru,36,SL,1539356440,72,7.99,-10.85,85.32,4.5
Ilulissat,75,GL,1539355800,48,69.22,-51.1,19.4,6.93
Gao,0,ML,1539356441,33,16.28,-0.04,96.04,4.72
Lublin,0,PL,1539356293,51,51.25,22.57,67.06,6.73
Bull Savanna,80,JM,1539356442,92,17.89,-77.59,75.96,4.72
Sao Joao da Barra,90,BR,1539352800,78,-21.64,-41.05,78.8,8.05
Palmas,56,BR,1539356443,80,-10.18,-48.33,90.0,4.05
Okhotsk,0,RU,1539356443,100,59.36,143.24,26.37,5.17
Oka,68,NG,1539356444,81,6.04,7.09,82.98,8.75
Sainte-Suzanne,0,CH,1539354600,39,47.51,6.77,78.8,6.93
Mehamn,20,NO,1539352200,86,71.03,27.85,37.4,6.93
Malinyi,24,TZ,1539356445,42,-8.94,36.14,87.21,4.05
Kedrovyy,0,RU,1539352800,86,56.17,91.82,30.2,2.24
Vesoul,0,FR,1539354600,39,47.62,6.16,78.8,6.93
Maracacume,56,BR,1539356447,69,-2.04,-45.96,87.48,10.54
Mecca,0,SA,1539356447,22,21.43,39.83,92.16,6.4
Itapolis,24,BR,1539356447,59,-21.6,-48.81,87.21,12.44
Sorong,76,ID,1539356448,100,-0.86,131.25,79.66,3.6
Egvekinot,88,RU,1539356448,82,66.32,-179.17,33.12,8.52
Tura,88,IN,1539356213,95,25.52,90.21,71.82,3.94
Sandane,75,NO,1539354000,45,61.77,6.22,68.0,8.05
Valparaiso,75,US,1539354900,94,41.47,-87.06,42.98,8.05
Tabory,0,PL,1539356449,61,53.89,19.53,66.51,8.3
Kutum,0,SD,1539356449,11,14.2,24.66,89.2,11.21
Saint-Joseph,0,FR,1539354900,47,43.56,6.97,75.2,5.82
Aljustrel,20,PT,1539352800,36,37.88,-8.16,78.8,4.7
Port Hardy,20,CA,1539352800,93,50.7,-127.42,46.4,8.05
Padang,92,ID,1539356451,100,-0.92,100.36,77.05,10.2
Mabini,75,PH,1539352800,79,7.31,125.85,84.2,3.36
Mascote,92,BR,1539356452,81,-15.56,-39.3,77.94,7.18
Adrar,0,DZ,1539352800,27,27.87,-0.29,91.4,5.82
Biryusinsk,0,RU,1539356452,82,55.96,97.82,34.38,4.38
Quesnel,75,CA,1539352800,75,52.98,-122.49,41.0,2.24
Ketchikan,1,US,1539353520,85,55.34,-131.65,46.94,9.17
Tsumeb,40,NA,1539356400,15,-19.25,17.72,93.2,4.7
Chipata,88,ZM,1539356454,24,-13.64,32.65,86.85,6.73
Brainerd,90,US,1539355080,74,46.36,-94.2,30.2,4.7
Dingle,56,PH,1539356454,84,11.0,122.67,79.83,10.65
Jining,0,CN,1539356458,67,35.41,116.58,50.05,8.75
Digras,0,IN,1539356458,53,20.1,77.72,77.58,6.73
Petropavlovsk-Kamchatskiy,90,RU,1539352800,100,53.05,158.65,42.8,6.71
Chifeng,0,CN,1539356459,71,42.27,118.96,31.95,6.96
Lusambo,0,CD,1539356460,70,-4.97,23.44,82.98,1.36
Atbasar,20,KZ,1539356460,61,51.81,68.36,36.9,9.19
Broken Hill,44,AU,1539356460,94,-31.97,141.45,56.7,8.97
Ornes,0,FR,1539354600,41,49.25,5.47,78.8,11.41
Havelock,1,US,1539352680,61,34.88,-76.9,68.0,13.87
Touros,8,BR,1539356461,62,-5.2,-35.46,86.14,16.46
Petatlan,90,MX,1539351600,83,17.52,-101.27,77.0,2.59
Yar-Sale,12,RU,1539356462,100,66.83,70.83,24.4,8.63
Praya,40,ID,1539354600,78,-8.71,116.27,80.6,5.82
Makakilo City,20,US,1539352620,84,21.35,-158.09,75.92,4.7
Te Anau,68,NZ,1539356467,83,-45.41,167.72,28.99,2.48
Anuchino,0,RU,1539356468,76,43.97,133.06,29.7,2.71
Vryburg,92,ZA,1539356469,16,-26.96,24.73,85.6,8.41
Dongsheng,0,CN,1539356470,58,29.72,112.52,58.5,9.31
Saldanha,56,PT,1539356470,65,41.42,-6.55,68.76,11.88
Palmer,90,US,1539352560,62,61.6,-149.11,48.02,10.29
Camacha,20,PT,1539354600,78,33.08,-16.33,77.0,18.34
La Ronge,90,CA,1539352800,74,55.1,-105.3,33.8,4.7
Matagami,20,NG,1539356475,96,9.67,8.4,74.7,2.15
Bisira,92,PA,1539356476,99,8.52,-81.71,67.95,2.04
Richards Bay,92,ZA,1539356476,89,-28.77,32.06,65.97,14.56
Dvinskoy,0,RU,1539356480,87,62.16,45.12,36.36,6.17
Azogues,75,EC,1539352800,58,-2.74,-78.85,53.6,2.24
Nushki,0,PK,1539356481,46,29.55,66.02,53.29,2.26
Baruun-Urt,32,MN,1539356482,53,46.68,113.28,36.19,7.96
Morondava,36,MG,1539356482,68,-20.3,44.28,82.62,7.74
Natal,75,BR,1539356400,55,-5.81,-35.21,87.8,21.92
Mabaruma,8,GY,1539356483,71,8.2,-59.78,88.75,7.52
Golden Gate,1,US,1539354960,75,38.36,-88.2,48.56,4.61
Sile,1,US,1539355980,58,35.56,-106.37,53.06,16.11
Birao,56,CF,1539356550,69,10.3,22.78,83.89,3.27
Casa Nova,56,BR,1539356488,47,-11.77,-39.23,86.76,11.43
Spas-Demensk,0,RU,1539356488,69,54.41,34.03,54.36,6.06
Lulea,90,SE,1539354000,93,65.58,22.15,41.0,4.38
Udachnyy,68,RU,1539356492,70,66.42,112.4,25.65,2.59
Saint-Francois,0,FR,1539354600,39,46.42,3.91,80.6,11.41
Ayorou,24,NE,1539356492,45,14.73,0.92,95.76,3.27
Lompoc,75,US,1539352680,92,34.64,-120.46,52.16,4.7
Tucupita,12,VE,1539356493,66,9.06,-62.05,89.2,5.61
Panjakent,12,UZ,1539352800,36,39.5,67.61,60.8,6.93
Prijepolje,0,RS,1539354600,58,43.39,19.65,59.0,5.82
Khalkhal,92,IR,1539356494,97,37.62,48.53,50.13,2.15
Iaciara,48,BR,1539356494,39,-14.1,-46.63,93.33,6.4
Smiltene,0,LV,1539356495,65,57.42,25.9,59.85,8.52
Oban,92,GB,1539356495,92,56.42,-5.47,55.18,23.51
Alcaniz,68,ES,1539356496,41,41.05,-0.13,77.58,6.4
Walvis Bay,0,NA,1539352800,56,-22.95,14.51,68.0,13.87
Jiaxing,0,CN,1539352800,77,30.76,120.75,60.8,4.47
Kokstad,100,ZA,1539356496,93,-30.55,29.42,52.3,3.15
Kruisfontein,88,ZA,1539356497,98,-34.0,24.73,60.66,11.43
Lovozero,0,RU,1539356497,90,68.01,35.02,26.1,2.71
General Roca,0,AR,1539352800,33,-39.03,-67.58,59.0,13.87
Nueve de Julio,0,AR,1539356316,48,-31.67,-68.39,68.31,4.61
Itarema,0,BR,1539356498,55,-2.92,-39.92,90.64,18.48
Kyshtovka,44,RU,1539356498,64,56.56,76.62,42.49,8.97
Kargasok,88,RU,1539356498,95,59.06,80.87,44.29,6.73
Port Blair,56,IN,1539356499,100,11.67,92.75,81.0,6.96
Karasburg,76,NA,1539356499,21,-28.01,18.75,74.89,11.65
Hof,0,DE,1539356160,35,50.32,11.92,75.02,6.93
Lodja,12,CD,1539356500,79,-3.52,23.6,80.01,3.38
San Ramon,40,NI,1539352800,94,12.92,-85.84,68.0,1.59
Isangel,0,VU,1539356501,100,-19.55,169.27,74.7,11.1
Rundu,8,NA,1539356501,9,-17.91,19.77,95.41,6.4
Fort Frances,56,CA,1539356501,100,48.61,-93.4,27.9,11.43
Kangaatsiaq,76,GL,1539356501,100,68.31,-53.46,31.86,15.9
Alta Floresta,75,BR,1539352800,88,-9.87,-56.08,80.6,5.82
Nishihara,40,JP,1539352800,76,35.74,139.53,66.2,4.38
Kintampo,12,GH,1539356502,81,8.05,-1.73,86.22,4.38
Kut Chap,64,TH,1539354600,88,17.43,102.57,77.0,4.7
Batagay,88,RU,1539356503,73,67.65,134.64,14.05,2.37
Bayan,44,MN,1539356503,65,47.25,107.54,29.52,3.49
Winnemucca,0,US,1539356358,70,40.97,-117.74,21.42,2.37
Tamiahua,92,MX,1539356505,100,21.28,-97.45,76.5,5.61
Progreso,90,UY,1539352800,93,-34.68,-56.22,53.6,4.7
Anaconda,8,US,1539356506,72,46.13,-112.94,22.95,2.15
Buala,56,SB,1539356507,95,-8.15,159.59,80.73,8.19
Jaru,44,BR,1539356507,70,-10.43,-62.48,87.57,3.15
Beipiao,0,CN,1539356507,66,41.8,120.76,34.3,4.27
Dickinson,1,US,1539356160,14,46.88,-102.79,37.04,10.29
Bonavista,64,CA,1539356508,100,48.65,-53.11,40.86,10.2
Orocue,92,CO,1539356509,100,4.79,-71.34,81.36,4.38
Kathu,80,ZA,1539356509,15,-27.7,23.05,81.64,9.64
Amalapuram,12,IN,1539356510,66,16.58,82.0,85.23,10.76
Khorramshahr,32,IR,1539352800,27,30.43,48.18,102.2,6.93
Timmins,90,CA,1539352800,73,48.48,-81.33,32.0,10.29
Jalu,0,LY,1539356511,30,29.03,21.55,85.41,8.86
Platteville,90,US,1539354900,16,42.73,-90.48,35.96,10.29
Tahe,12,CN,1539356511,84,52.34,124.71,31.77,2.15
Sept-Iles,90,CA,1539352800,93,50.2,-66.38,35.6,18.34
Amapa,40,HN,1539356400,66,15.09,-87.97,84.2,5.82
Nakapiripirit,64,UG,1539356512,100,1.81,34.71,66.96,1.7
Westport,75,IE,1539354600,76,53.8,-9.52,53.6,23.04
Taoudenni,0,ML,1539356514,18,22.68,-3.98,100.18,4.38
Panorama,12,BR,1539356514,65,-21.35,-51.86,88.11,8.41
Ossora,8,RU,1539356515,100,59.24,163.07,34.56,3.71
Port Macquarie,75,AU,1539352800,87,-31.43,152.91,57.2,3.36
Mwinilunga,32,ZM,1539356515,22,-11.73,24.43,86.41,3.38
Vredendal,0,ZA,1539356516,27,-31.68,18.49,78.21,8.75
Aitape,44,PG,1539356516,93,-3.15,142.36,82.08,8.52
Dalbandin,0,PK,1539356516,16,28.9,64.41,62.1,6.96
Matara,0,PE,1539352800,53,-13.74,-72.9,51.8,6.93
Zhigalovo,0,RU,1539356517,75,54.81,105.15,18.45,2.15
Xining,24,CN,1539356518,100,36.62,101.77,31.69,4.38
Noumea,0,NC,1539354600,93,-22.28,166.46,64.4,6.96
Broome,0,GB,1539354000,60,52.47,1.45,73.04,20.8
Umarizal,0,BR,1539356518,35,-5.99,-37.82,94.06,8.52
Iqaluit,90,CA,1539352800,79,63.75,-68.52,24.8,12.75
Srednekolymsk,92,RU,1539356519,91,67.46,153.71,26.29,2.93
Sibolga,92,ID,1539356519,100,1.74,98.78,67.69,0.58
Sangar,92,RU,1539356519,85,63.92,127.47,27.36,2.37
Rafraf,40,TN,1539354600,69,37.19,10.18,77.0,12.75
Lao Cai,92,VN,1539356476,95,22.48,103.95,61.83,1.36
Pacific Grove,1,US,1539354900,81,36.62,-121.92,53.96,4.72
Koslan,20,RU,1539356524,73,63.46,48.9,36.45,8.97
Ashdod,20,IL,1539354000,47,31.8,34.65,80.6,10.29
Vardo,75,US,1539355620,55,39.62,-77.74,60.8,13.87
Shilovo,0,RU,1539352800,54,51.55,39.09,55.4,4.47
Humaita,75,AR,1539352800,72,-24.93,-65.37,60.8,3.36
Paragominas,12,BR,1539356526,65,-3.0,-47.35,89.82,8.75
Bodden Town,40,KY,1539352800,83,19.28,-81.25,84.2,3.94
Vostok,0,RU,1539356528,77,46.45,135.83,25.38,1.92
Komsomolsk,0,RU,1539356528,72,57.03,40.38,50.85,16.8
Camacari,40,BR,1539356400,66,-12.7,-38.32,84.2,16.11
Varhaug,75,NO,1539354000,82,58.61,5.65,59.0,26.4
Mandurah,90,AU,1539354600,87,-32.55,115.7,60.8,4.7
Baton Rouge,1,US,1539352380,77,30.45,-91.15,60.08,8.05
Keetmanshoop,12,NA,1539356529,19,-26.57,18.15,84.06,2.93
Kungurtug,0,RU,1539356529,73,50.6,97.53,20.25,2.37
Pervomayskoye,44,RU,1539356530,44,57.07,86.23,54.64,14.67
Marysville,90,CA,1539354900,60,42.91,-82.49,46.4,6.93
Kirovskiy,0,RU,1539356530,79,45.09,133.51,30.42,2.37
